
,,Sun
31-May-15,Mon
1-Jun-15,Tue
2-Jun-15,Wed
3-Jun-15,Thu
4-Jun-15,Fri
5-Jun-15,Sat
6-Jun-15,Sun
7-Jun-15
Line #,Cycle Name,1,2,3,4,5,6,7,8
FT CSSA 4 X 4,,,,,,,,,
5001,F1,"11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT",X,X,X,X,"11:30-22:55
1125
ITT"
5002,F2,X,X,X,"11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT",X
5003,F1,"11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT",X,X,X,X,"11:30-22:55
1125
ITT"
5004,F2,X,X,X,"11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT","11:30-22:55
1125
ITT",X
5005,F1,"06:30-17:55
1125
ITPC","06:30-17:55
1125
ITPC","06:30-17:55
1125
ITPC",X,X,X,X,"06:30-17:55
1125
ITPC"
5006,F2,X,X,X,"06:30-17:55
1125
ITPC","06:30-17:55
1125
ITPC","06:30-17:55
1125
ITPC","06:30-17:55
1125
ITPC",X
5007,F1,"06:00-17:25
1125
U_B_INDUCTION_CASH","06:00-17:25
1125
U_B_INDUCTION_CASH","06:00-17:25
1125
U_B_INDUCTION_CASH",X,X,X,X,"06:00-17:25
1125
U_B_INDUCTION_CASH"
5008,F2,X,X,X,"06:00-17:25
1125
U_B_INDUCTION_CASH","06:00-17:25
1125
U_B_INDUCTION_CASH","06:00-17:25
1125
U_B_INDUCTION_CASH","06:00-17:25
1125
U_B_INDUCTION_CASH",X
5009,F1,"13:00-00:25
1125
GT_Z1","13:00-00:25
1125
GT_Z1","13:00-00:25
1125
GT_Z1",X,X,X,X,"13:00-00:25
1125
GT_Z1"
5010,F2,X,X,X,"13:00-00:25
1125
GT_Z1","13:00-00:25
1125
GT_Z1","13:00-00:25
1125
GT_Z1","13:00-00:25
1125
GT_Z1",X
5011,F1,"06:00-17:25
1125
GT_Z2","06:00-17:25
1125
GT_Z2","06:00-17:25
1125
GT_Z2",X,X,X,X,"06:00-17:25
1125
GT_Z2"
5012,F2,X,X,X,"06:00-17:25
1125
GT_Z2","06:00-17:25
1125
GT_Z2","06:00-17:25
1125
GT_Z2","06:00-17:25
1125
GT_Z2",X
